index,GRID_ID,score_lu,score_emp,score_est,score_ind,score_fac,fq
361,CH-78,0.0,1.0,2.0,0.0,0.0,1.0
362,CI-78,0.0,2.0,3.0,1.0,0.0,2.25
363,CJ-78,0.0,1.0,2.0,0.0,0.0,1.0
364,CL-78,0.0,1.0,1.0,0.0,0.0,0.75
365,CM-78,1.0,1.0,1.0,1.0,0.0,1.55
366,CN-78,2.0,0.0,0.0,0.0,0.0,0.6
367,CO-78,2.0,0.0,0.0,0.0,0.0,0.6
368,CP-78,0.0,1.0,1.0,0.0,0.0,0.75
369,CQ-78,0.0,2.0,1.0,1.0,0.0,1.75
370,CT-78,0.0,1.0,1.0,0.0,0.0,0.75
371,BH-77,0.0,0.0,0.0,0.0,0.0,0.0
372,BM-77,1.0,1.0,1.0,0.0,0.0,1.05
373,BN-77,2.0,1.0,0.0,0.0,0.0,1.1
374,BT-77,0.0,1.0,1.0,0.0,0.0,0.75
375,BU-77,0.0,1.0,1.0,0.0,0.0,0.75
376,BV-77,0.0,1.0,0.0,0.0,0.0,0.5
377,BW-77,1.0,1.0,1.0,0.0,0.0,1.05
378,BY-77,1.0,1.0,2.0,1.0,0.0,1.8
379,BZ-77,0.0,1.0,2.0,0.0,0.0,1.0
380,CE-77,0.0,1.0,1.0,0.0,0.0,0.75
381,CF-77,2.0,1.0,1.0,1.0,0.0,1.85
382,CG-77,0.0,1.0,1.0,0.0,0.0,0.75
383,CH-77,0.0,1.0,2.0,1.0,0.0,1.5
384,CI-77,0.0,1.0,1.0,0.0,0.0,0.75
385,CJ-77,1.0,1.0,1.0,0.0,0.0,1.05
386,CK-77,0.0,1.0,1.0,0.0,0.0,0.75
387,CL-77,1.0,1.0,2.0,0.0,0.0,1.3
388,CM-77,2.0,1.0,1.0,0.0,0.0,1.35
389,CP-77,1.0,1.0,1.0,0.0,0.0,1.05
390,CT-77,1.0,1.0,1.0,0.0,0.0,1.05
391,DR-77,0.0,0.0,0.0,0.0,0.0,0.0
392,F-76,0.0,0.0,0.0,0.0,0.0,0.0
393,J-76,0.0,1.0,1.0,1.0,1.0,1.75
394,BI-76,0.0,1.0,1.0,0.0,0.0,0.75
395,BJ-76,0.0,1.0,1.0,0.0,0.0,0.75
396,BM-76,3.0,0.0,0.0,0.0,0.0,0.9
397,BN-76,1.0,1.0,0.0,0.0,0.0,0.8
398,BS-76,1.0,1.0,1.0,0.0,0.0,1.05
399,BT-76,0.0,1.0,1.0,0.0,0.0,0.75
400,BU-76,0.0,1.0,1.0,0.0,0.0,0.75
401,BV-76,0.0,1.0,1.0,0.0,0.0,0.75
402,BW-76,1.0,1.0,1.0,0.0,0.0,1.05
403,BX-76,1.0,1.0,1.0,0.0,0.0,1.05
404,BY-76,1.0,1.0,1.0,0.0,0.0,1.05
405,CA-76,0.0,1.0,2.0,1.0,0.0,1.5
406,CF-76,0.0,1.0,1.0,1.0,0.0,1.25
407,CG-76,0.0,1.0,2.0,0.0,0.0,1.0
408,CH-76,0.0,1.0,1.0,1.0,0.0,1.25
409,CI-76,1.0,1.0,1.0,0.0,0.0,1.05
